EST_DPTR_D,index,idvessl,TEU,New_ID,Counter
2018-01-07,79903763,4295826779,8785,79903763,1
2018-01-14,187557857,7636868741,16357,187557857,2
2018-01-21,164155895,5889920567,12411,164155895,3
2018-01-28,233192482,5415844096,10970,233192482,4
2018-02-04,482642481,6822333555,13512,482642481,5
2018-02-11,427731735,5562963699,11210,427731735,6
2018-02-18,537786804,6334364820,12213,537786804,7
2018-02-25,802929760,8768798698,17520,802929760,8
2018-03-04,1000643333,8806549985,16959,1000643333,9
2018-03-11,1217047971,8866153647,16840,1217047971,10
2018-03-18,869719591,5853840937,10592,869719591,11
2018-03-25,1064446031,7271362085,13071,1064446031,12
2018-04-01,1346166150,8712018450,15674,1346166150,13
2018-04-08,1977201741,10817489025,18106,1977201741,14
2018-04-15,1726447181,8601664169,14367,1726447181,15
2018-04-22,2113500286,10288647946,17248,2113500286,16
2018-04-29,1762063591,8977437535,15540,1762063591,17
2018-05-06,1800581705,7626243773,12678,1800581705,18
2018-05-13,2881340962,12020688172,18957,2881340962,19
2018-05-20,1673895762,6849592494,10554,1673895762,20
2018-05-27,2276197487,9059104223,14126,2276197487,21
2018-06-03,3528077807,13507701215,20887,3528077807,22
2018-06-10,2191466049,7728184383,11348,2191466049,23
2018-06-17,3631781726,12676921898,19259,3631781726,24
2018-06-24,3325292892,11222245272,16906,3325292892,25
2018-07-01,3679562543,12311835629,18593,3679562543,26
2018-07-08,3417530624,10467884186,14450,3417530624,27
2018-07-15,4439156301,13515909573,19985,4439156301,28
2018-07-22,2736565583,8264432249,11945,2736565583,29
2018-07-29,3185701288,9667651312,13799,3185701288,30
2018-08-05,3589355304,10369732992,14379,3589355304,31
2018-08-12,6076176060,16808191248,22923,6076176060,32
2018-08-19,4484662207,12231768493,16969,4484662207,33
2018-08-26,3860828899,10542573715,13381,3860828899,34
2018-09-02,2348477177,6396850763,8048,2348477177,35
